PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex,Embarked,Cabin
1,0,3,38.44359937468681,0,0,4.892477907842704,female,S,nan
2,1,3,24.285570416053705,1,0,4.14963566574574,male,S,nan
3,1,1,60.45657933818818,0,0,38.392722856256434,male,S,nan
4,0,3,,1,1,55.154270267556285,female,S,nan
5,0,1,2.693971086940472,1,0,52.92146664141647,male,S,nan
6,1,3,15.165551686389847,1,1,112.0778173250148,male,Q,A1
7,0,3,4.462706659096671,0,0,20.430924506124462,male,S,C3
8,1,1,29.951352122693955,0,0,5.288749539274826,male,S,nan
9,0,1,27.93382425122666,0,0,4.1766297992108745,male,C,nan
10,0,1,22.90782738045786,0,2,6.232619995430576,male,nan,nan
11,1,3,58.858428629807456,0,0,106.20469360536853,male,S,nan
12,1,3,37.66025167411521,0,0,3.6283668942890888,male,C,B2
13,1,3,,0,0,25.428271074899722,male,S,nan
14,1,3,16.199434424839502,0,0,94.62756571435362,male,S,nan
15,1,3,15.212399075700322,0,0,20.394732819394132,female,S,nan
16,1,1,30.23367973690584,2,0,4.101271667554598,male,S,nan
17,1,3,32.208603524957276,0,2,38.01418463020357,male,Q,nan
18,0,2,2.783482276840374,3,0,5.303402100304946,female,C,B2
19,1,3,,2,0,68.10617886745561,female,S,nan
20,0,3,29.90404520166582,0,0,1.9452504512099793,male,S,nan
21,1,3,26.58033709631863,1,1,23.260281763933147,male,Q,nan
22,0,3,17.90583902097319,0,1,43.41169803800371,female,S,A1
23,0,1,,1,0,5.398584051815915,female,S,nan
24,1,3,27.135541693194458,0,2,1.3504765916860897,male,S,nan
25,1,2,31.016600342345694,0,0,21.861724245299172,male,S,nan
26,1,3,38.46947794698323,0,1,15.609472007974038,male,S,nan
27,0,1,,0,2,9.340781239707143,male,Q,B2
28,1,1,25.431958008854878,3,0,35.395507698994415,female,S,nan
29,1,2,23.08573515632731,0,0,40.097928889794694,female,S,nan
30,0,2,36.04600726624744,1,0,86.04296517090516,male,C,nan
31,0,2,,3,0,132.70051319716248,male,S,nan
32,0,3,,0,1,20.166019400933724,female,C,nan
33,0,3,41.1607054160095,0,0,1.9069318070632544,male,S,nan
34,1,2,,1,0,8.155676868625326,female,S,A1
35,1,2,48.42945375205076,0,2,1.0764039363584732,male,S,nan
36,0,1,55.485653147437425,0,0,17.35604699605125,male,C,nan
37,1,3,17.136965989438135,0,0,3.198988556920363,male,S,nan
38,1,2,29.901524035321412,2,0,84.6802565480581,male,C,nan
39,0,1,,0,0,1.9505228698509645,female,S,nan
40,1,2,28.27793325627864,0,0,49.273958276621684,male,S,nan
41,0,3,20.285687665653025,0,0,8.106267361286159,male,C,nan
42,1,1,8.159350953149463,0,0,13.902527189775828,male,S,nan
43,1,3,31.043851967420554,0,0,51.76900229807242,male,C,B2
44,0,3,18.558842936555266,1,0,0.9426810454794184,male,S,nan
45,0,3,,1,0,5.633494808183317,female,S,D4
46,1,3,18.186368645366628,0,0,20.054556156649017,male,C,nan
47,0,3,13.75495398525705,0,0,31.066074621577396,male,S,nan
48,1,2,33.09732622546502,0,0,20.41852870499081,male,S,nan
49,1,3,,0,0,23.416409064860506,male,S,nan
50,1,3,38.09958858415352,0,0,37.96076199051246,female,C,nan
51,1,2,61.39502461305557,1,0,1.1927666855740389,male,S,nan
52,0,3,33.72069820255728,0,2,12.808969451585943,male,S,B2
53,0,2,,0,0,19.36636644989425,female,C,A1
54,0,3,14.075360731423782,0,0,36.33272257561122,female,S,nan
55,0,3,11.03984211222257,0,0,19.31675332084245,female,Q,nan
56,0,3,,0,0,16.141804930061735,male,C,nan
57,1,3,,2,0,10.55924783956451,male,S,A1
58,0,3,14.562810963704688,1,1,24.22118624023496,female,Q,nan
59,1,3,,2,1,6.3076564764924905,male,S,nan
60,1,3,28.392210006027867,2,0,2.579068098923195,male,S,nan
61,1,2,16.61365565657227,0,0,70.8253336763683,male,S,nan
62,1,3,25.277888328660048,2,0,30.760749295286633,female,S,nan
63,0,3,47.525947905926515,0,0,3.23551000167758,male,S,nan
64,1,1,18.013092671938935,0,0,0.7498003800457025,male,S,nan
65,0,1,,0,0,32.27466048871879,male,S,nan
66,0,3,43.36760750304698,0,2,50.15825585852473,male,S,nan
67,1,1,36.83830522310153,0,0,23.46596780496199,female,S,nan
68,0,2,,0,0,1.1911543832002682,male,C,C3
69,0,2,6.758578266159688,1,0,6.480168035680267,male,S,nan
70,0,1,18.90296133164083,1,0,1.8025307476328378,female,S,nan
71,1,2,,0,2,45.04665419188926,female,S,nan
72,0,3,46.60224530331537,0,0,5.17895106146564,male,S,nan
73,0,1,14.669561364389974,1,0,58.133678712134085,female,S,A1
74,0,3,28.474461718083635,0,0,42.79782966489318,male,S,nan
75,1,3,39.48959756847602,0,2,18.931088672254514,female,S,D4
76,0,2,1.0,0,0,18.348966066019237,male,C,nan
77,0,1,44.68989943511404,0,0,3.331517633815754,male,S,nan
78,0,3,,0,1,9.243570325636334,male,S,nan
79,1,1,34.51393465512555,1,1,3.504547910241002,male,C,nan
80,1,2,33.27690566935579,1,0,56.40585775122782,male,S,nan
81,1,3,45.42650267622575,1,1,21.191045708444303,male,S,B2
82,0,3,37.688403522956335,0,0,2.7542950441529195,male,S,B2
83,0,3,1.0,1,0,55.49480949488137,male,S,nan
84,1,2,18.320700916238124,0,1,2.092732568885646,male,S,B2
85,1,3,31.70397437562256,0,0,7.965355519568443,female,S,D4
86,1,3,26.87279165126309,0,0,58.450331845956946,female,S,nan
87,0,2,36.62535558147317,0,2,30.2923127014357,female,Q,nan
88,0,3,41.145815057210726,0,1,24.371585217965357,male,S,nan
89,1,1,38.52255017823035,0,1,64.94103238108576,male,S,nan
90,1,1,,0,0,5.796881094311319,male,S,nan
91,0,3,,0,3,10.786472267700535,male,C,D4
92,1,1,23.09552189160515,0,0,15.97548088877813,male,S,nan
93,1,1,35.73733814801485,0,0,58.237885852452656,female,S,nan
94,0,3,13.888514838018075,2,0,4.30754381846817,male,S,nan
95,1,3,38.853483586762856,0,1,50.29964420131536,female,C,nan
96,0,3,,0,2,0.9144218967179857,male,S,nan
97,0,3,,0,0,9.38530328487384,male,S,nan
98,1,3,1.0,1,0,8.172829038177946,male,S,nan
99,1,1,11.16771874067885,0,0,19.844037017305983,female,S,nan
100,0,2,57.04974279906318,2,0,17.951231766033864,male,S,nan
101,1,2,21.775202001088516,0,0,126.7682323676735,male,S,nan
102,0,1,1.0,0,0,15.538962195269828,male,S,nan
103,1,3,47.611087130498944,0,0,31.93752558735007,male,C,nan
104,0,2,29.893656077383255,0,1,1.115527468918826,female,Q,nan
105,1,3,,1,0,46.25213466096935,female,S,nan
106,1,1,,1,1,17.532758927373074,female,S,B2
107,1,1,,0,0,14.943505123826963,female,S,nan
108,1,3,,3,0,4.681380905241893,female,S,B2
109,0,1,39.8135805228545,0,0,90.6277571241084,male,S,C3
110,1,1,62.72274150406342,0,0,31.583841726606412,male,S,nan
111,0,2,43.77959187140823,0,0,10.007168270591448,male,C,nan
112,1,3,6.785079891239743,0,0,1.0280515926716705,male,S,nan
113,1,3,36.1765919715441,1,0,56.71261384094247,male,C,B2
114,0,3,46.25147113749666,0,0,30.712101192062594,male,S,nan
115,1,1,47.13916169477412,0,0,17.040557674050216,female,S,nan
116,1,2,23.514227745643055,0,0,9.897199091575523,female,S,nan
117,0,3,46.59169445522785,0,0,41.37502111869755,male,S,nan
118,0,3,43.15226479349248,0,0,47.93804226066765,female,S,nan
119,0,3,,1,0,16.686585620287754,male,S,nan
120,0,3,18.824974824396584,0,0,26.225495374267016,male,S,nan
121,0,3,22.342691642193834,0,0,106.03599371515914,male,S,C3
122,1,1,25.261273797330666,0,0,142.40778069844774,male,S,nan
123,1,2,22.591778824437757,0,2,65.2997954968748,male,S,nan
124,0,3,16.794699128427755,0,0,21.11715807716951,male,S,nan
125,1,2,1.0,1,0,3.828924489409219,male,Q,D4
126,1,3,,2,0,55.96271729883037,male,S,nan
127,0,3,35.05569186564861,0,0,1.1203010168606198,female,S,C3
128,1,3,22.548283240164295,2,0,12.097385233821525,male,S,nan
129,1,3,57.76302716117209,0,1,1.2974943015932061,male,S,A1
130,1,3,29.893949284380007,0,0,35.408182571299676,male,S,nan
131,1,3,48.41992130016996,1,0,14.107579210009732,male,S,nan
132,1,3,33.49059598458454,1,0,25.426201652923336,male,S,nan
133,0,3,,1,0,18.96948631866165,male,S,A1
134,1,2,33.749002532036656,0,0,26.622741998417954,male,S,D4
135,1,3,,0,0,3.9936132385702994,male,Q,nan
136,0,3,,0,0,3.266146132434651,female,Q,nan
137,1,1,36.893750267287395,0,2,37.318001654827256,male,S,nan
138,0,2,35.01182753792563,0,0,17.72629338073859,male,S,nan
139,0,3,25.519860857153876,0,3,18.27856924008483,male,S,nan
140,0,3,35.57224362440781,0,0,2.3141692810096925,male,nan,nan
141,1,1,62.09860056986639,0,1,29.613768904065097,male,S,nan
142,0,2,25.779244339616092,0,0,26.156672115825824,male,S,nan
143,0,1,35.7822409463721,0,0,0.8370685725086688,male,S,D4
144,0,1,47.93779478760692,0,3,3.197829566493849,female,S,nan
145,1,3,,0,0,24.64876475375117,male,S,nan
146,1,2,29.869888056930794,0,2,2.3222065218292625,male,Q,nan
147,0,2,1.0,0,0,9.544576504105478,female,Q,nan
148,0,3,37.19219087040276,0,0,4.399278886422247,male,S,nan
149,1,1,,1,0,21.63519822607777,female,S,nan
150,0,2,51.01408984864785,0,0,22.62394228095923,female,S,nan
151,1,3,32.15737113230228,0,2,27.521816660957477,female,S,nan
152,0,3,44.19527328814384,0,1,43.040041491502414,male,S,nan
153,1,3,16.619388496374757,2,0,15.439729239964187,male,C,nan
154,0,3,,1,0,1.3103509508022066,male,S,nan
155,0,3,33.48093857004692,0,0,62.52625262023366,male,S,nan
156,1,3,29.212750120635942,0,0,27.395560690361876,male,Q,nan
157,0,3,22.572658020721097,0,0,15.250189764035273,male,S,nan
158,1,3,30.927588570625073,2,0,27.24185673299956,male,S,nan
159,1,3,69.82782043446777,0,0,8.062907101285903,male,C,nan
160,1,3,41.80062043685133,0,1,13.686005939080715,male,C,D4
161,1,3,44.917729785018125,4,0,38.37518526711847,male,S,nan
162,1,1,41.93708492752366,1,0,32.19887201645398,female,C,nan
163,0,3,51.152201085856795,0,0,90.5696668845999,male,S,nan
164,0,2,26.943960742939197,0,1,11.03527114936211,male,S,nan
165,0,3,1.0,0,0,27.184041824197756,female,S,nan
166,1,3,26.965501071412856,0,0,22.026467068003303,male,C,nan
167,0,3,41.470167794949276,0,0,1.5621937791550857,male,C,nan
168,0,3,15.637894270831431,2,1,9.267964076914822,female,S,nan
169,0,2,27.14269371790471,2,0,95.30559856697711,male,S,nan
170,0,3,19.66933872646646,0,0,16.342143298679254,male,C,nan
171,0,3,51.47942415172539,0,0,3.400919139673872,female,S,nan
172,0,2,40.56712672339518,0,0,20.437212257160258,female,S,nan
173,1,1,39.14733899933741,0,0,43.055294959318665,female,C,nan
174,1,1,,1,0,64.58301710451852,female,S,nan
175,1,3,,0,0,33.41190459639723,male,S,nan
176,0,3,32.564566096648804,0,0,10.404669564584909,female,S,A1
177,1,3,12.514823582281394,0,0,35.96077871672644,male,S,C3
178,0,3,1.0,0,0,32.674243107345404,female,C,D4
179,1,3,31.876176390002847,0,0,81.88858951104278,female,S,nan
180,1,2,,1,0,32.21654653093354,female,S,nan
181,1,3,47.23433624216797,1,0,21.701923485098384,female,S,A1
182,0,1,,0,0,6.353101996078853,male,S,nan
183,0,3,,1,0,24.408899144510034,female,S,nan
184,1,3,15.22865789723877,0,0,9.829450378470602,male,S,nan
185,0,3,24.592156993228343,1,2,4.433004790098837,male,S,C3
186,0,3,36.66484729028,0,0,74.11387858817149,female,S,nan
187,0,1,66.41261782726157,0,0,14.666995266361447,female,S,nan
188,0,2,51.16143845385179,2,0,51.753185799759855,male,S,nan
189,0,1,,0,0,48.12859710301884,male,S,nan
190,0,1,24.077074644535287,0,0,14.659989073216526,male,S,nan
191,1,3,16.893605348250695,0,0,12.693392949549809,male,S,nan
192,1,3,,0,1,37.588988610360175,male,S,nan
193,1,3,13.740411668601778,0,0,0.6558067565130486,female,S,nan
194,0,3,26.24267291078561,0,0,41.39649880636475,male,S,nan
195,1,3,,1,0,8.892470333093478,female,S,nan
196,0,3,52.797225292280714,0,0,6.421935889637566,male,C,nan
197,0,1,24.556889107084675,0,2,7.808497468372109,female,S,nan
198,0,1,,0,0,58.99416293082729,male,S,B2
199,0,3,37.01444739110579,1,0,70.72705122939355,female,S,nan
200,1,3,19.56418312999307,0,1,14.676415869306968,male,S,nan
201,0,1,30.31814985434733,0,0,33.776127976014685,female,S,D4
202,1,3,28.442781837789205,0,0,175.63148497854078,female,S,nan
203,0,3,25.73129206064236,0,0,5.652893557287701,male,S,D4
204,1,1,41.1599384358782,1,1,24.89349237444324,male,C,nan
205,0,2,7.4734592638857436,0,0,6.807274338724447,male,S,nan
206,0,3,22.203293738161776,1,0,86.58981079766544,female,C,nan
207,1,3,,0,1,2.084980404855706,male,C,nan
